robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
1.39277,1.35288,1.6,1.6,8380,184,89
1.41013,1.31285,1.6,1.6,17274,188,93
1.41764,1.32913,1.6,1.6,26168,192,97
1.42447,1.31029,1.6,1.6,35063,196,100
1.43636,1.31122,1.6,1.6,52851,204,108
1.44151,1.32764,1.6,1.6,61745,208,112
1.45048,1.32257,1.6,1.6,13997,216,119
1.45048,1.32257,1.6,1.6,22891,220,123
1.45789,1.32138,1.6,1.6,31785,224,127
1.46109,1.30324,1.6,1.6,40680,228,130
1.46402,1.28675,1.6,1.6,49574,232,134
1.46668,1.30538,1.6,1.6,58468,236,138
1.46911,1.32235,1.6,1.6,1826,240,142
1.47332,1.35181,1.6,1.6,19614,248,150
1.47514,1.36458,1.6,1.6,28508,252,154
1.47831,1.35616,1.6,1.6,46296,260,161
1.47967,1.36853,1.6,1.6,55191,264,165
1.48092,1.37979,1.6,1.6,64085,268,169
1.48207,1.35641,1.6,1.6,7443,272,172
1.48311,1.33513,1.6,1.6,16337,276,176
1.48405,1.3494,1.6,1.6,25231,280,180
1.48491,1.36239,1.6,1.6,34125,284,184
1.45579,1.38496,1.6,1.6,51913,293,192
1.45917,1.39473,1.6,1.6,60808,297,196
1.4651,1.37811,1.6,1.6,13060,305,203
1.46767,1.35487,1.6,1.6,21954,309,207
1.43636,1.36736,1.6,1.6,30848,313,211
1.40787,1.37873,1.6,1.6,39742,317,215
1.41559,1.38908,1.6,1.6,48636,322,219
1.42902,1.40707,1.6,1.6,888,330,227
1.44011,1.42194,1.6,1.6,18677,339,235
1.44493,1.42839,1.6,1.6,27571,343,239
1.48391,1.4396,1.6,1.6,45359,352,247
1.48478,1.44447,1.6,1.6,54253,356,251
1.48557,1.44889,1.6,1.6,63147,360,255
1.4863,1.45293,1.6,1.6,6505,365,259
1.48694,1.45657,1.6,1.6,15400,369,263
1.48808,1.46294,1.6,1.6,33188,378,271
1.48902,1.46821,1.6,1.6,50976,386,279
1.48943,1.43685,1.6,1.6,59870,391,283
1.48982,1.44197,1.6,1.6,3228,395,288
1.49015,1.44662,1.6,1.6,12122,399,292
1.49046,1.45085,1.6,1.6,21016,404,296
1.49098,1.45818,1.6,1.6,38805,412,304
1.52485,1.46137,1.6,1.6,47699,417,308
1.51947,1.43327,1.6,1.6,65487,425,316
1.51715,1.43872,1.6,1.6,8845,430,321
1.51502,1.44366,1.6,1.6,17739,434,326
1.51309,1.44815,1.6,1.6,26633,438,330
1.51131,1.45223,1.6,1.6,35528,443,334
1.50971,1.45595,1.6,1.6,44422,447,338
1.50826,1.45934,1.6,1.6,53316,452,342
1.50574,1.49889,1.6,1.6,5568,460,351
1.53829,1.49841,1.6,1.6,14462,465,355
1.53059,1.52818,1.6,1.6,32250,473,364
1.52725,1.52506,1.6,1.6,41144,478,368
1.5242,1.52221,1.6,1.6,50039,482,372
1.52144,1.51963,1.6,1.6,58933,486,377
1.51894,1.51729,1.6,1.6,2291,491,381
1.51666,1.51516,1.6,1.6,11185,495,385
1.51458,1.51321,1.6,1.6,20079,500,390
1.5446,1.50983,1.6,1.6,37867,509,398
1.54,1.542,1.6,1.6,46761,513,403
1.53199,1.53365,1.6,1.6,64550,522,412
1.52855,1.53005,1.6,1.6,7908,526,416
1.55904,1.52677,1.6,1.6,16802,531,420
1.55314,1.52377,1.6,1.6,25696,535,425
1.58141,1.52105,1.6,1.6,34590,540,429
